LGA Name,LGA,Region,Median House Hold Weekly Income,Total Net Expenditure ($),SEIFA DIS Score ,SEIFA DIS Rank State ,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State ,Adults Population 2024,Adults per Venue 2024,"EGM per 1,000 Adults 2024",Expenditure per Adult 2024,Workforce as at June 2024,Unemployed as at June 2024,Unemployment Rate as at June 2024,EGM ban
WHITTLESEA,M26,Metro,1768,139026831.8,989.6,31,980.82,41,189811,18981,4,732,135924,6849,0.05,FALSE
NILLUMBIK,M16,Metro,2476,9368870.02,1092.87,80,1088.1,74,49430,24715,2,190,39556,705,0.02,FALSE
ARARAT,C43,Country,1252,6256569.22,955.21,15,931.9,18,9809,4904,9,638,5869,258,0.04,FALSE
NORTHERN GRAMPIANS,C14,Country,1124,4590890.1,951.3,12,920.66,6,9800,4900,8,468,6365,253,0.04,FALSE
QUEENSCLIFFE,C1,Country,1509,1176843.43,1082.24,75,1067.2,69,2885,2885,10,408,1558,20,0.01,FALSE
GREATER GEELONG,C21,Country,1592,134811043.1,1007.33,46,989.57,49,229523,9181,6,587,157299,6503,0.04,FALSE
CORANGAMITE,C3,Country,1263,3785427.49,984.59,26,954.63,26,12836,6418,4,295,8710,136,0.02,FALSE
COLAC OTWAY,C18,Country,1277,7723366.71,972.59,21,938.05,19,18133,3627,6,426,12067,227,0.02,FALSE
HEPBURN,C26,Country,1281,3491644.65,1006.25,45,983.91,43,14158,7079,4,247,8262,247,0.03,FALSE
MOORABOOL,C22,Country,1785,10391902.96,1017.23,51,987.16,46,31105,10368,4,334,22352,712,0.03,FALSE
CENTRAL GOLDFIELDS,C31,Country,904,8278358.69,897.56,2,867.23,1,11305,5652,9,732,5451,491,0.09,FALSE
MOUNT ALEXANDER,C47,Country,1252,3171764.14,1007.45,47,986.78,45,17271,17271,2,184,9657,224,0.02,FALSE
MANSFIELD,C49,Country,1325,1652829.25,1027.62,57,988.56,47,8491,8491,5,195,5511,92,0.02,FALSE
MURRINDINDI,C41,Country,1287,1612711.97,1004.69,43,970.81,37,12959,12959,2,124,8279,292,0.04,FALSE
MITCHELL,C13,Country,1719,22222664.66,999.55,38,968.23,35,44396,11099,5,501,29287,1280,0.04,FALSE
TOWONG,C34,Country,1282,436036.15,1000.77,39,968.34,36,5088,5088,2,86,3363,80,0.02,FALSE
ALPINE,C2,Country,1340,2877179.41,1027.61,56,988.93,48,10931,5465,5,263,7351,130,0.02,FALSE
MOIRA,C17,Country,1192,6137825.65,958.26,16,926.74,11,24986,12493,4,246,16828,223,0.01,FALSE
STRATHBOGIE,C42,Country,1188,2332739.66,981.99,25,954.18,25,9855,9855,3,237,5906,178,0.03,FALSE
BENALLA,C48,Country,1192,6307206.38,968.45,20,938.4,20,12122,4041,9,520,7322,307,0.04,FALSE
GANNAWARRA,C38,Country,1071,2309731.08,952.41,14,919.38,4,8559,8559,5,270,5279,173,0.03,FALSE
CAMPASPE,C10,Country,1264,11094363.63,964.87,19,931.76,17,31137,7784,7,356,22473,295,0.01,FALSE
GLENELG,C25,Country,1214,8320328.12,952.3,13,919.42,5,16484,4121,7,505,10261,302,0.03,FALSE
SOUTHERN GRAMPIANS,C37,Country,1261,6874736.64,993.73,35,961.54,32,13098,6549,6,525,8735,191,0.02,FALSE
WELLINGTON,C12,Country,1272.00,26291861.26,972.97,22,942.68,21,37384,5341,8,703,23313,899,0.04,FALSE
WODONGA,C15,Country,1498.00,10782766.81,973.07,23,947.01,23,34604,11535,4,312,23956,953,0.04,FALSE
WARRNAMBOOL,C16,Country,1420.00,23211597.75,994.95,37,961.07,31,28730,3591,8,808,19868,395,0.02,FALSE
GREATER BENDIGO,C19,Country,1448.00,58668802.26,984.96,27,959.06,29,98693,8972,7,594,63089,1957,0.03,FALSE
BALLARAT,C20,Country,1429.00,63550282.39,985.71,29,964.81,33,93882,6706,7,677,60373,2816,0.05,FALSE
SWAN HILL,C23,Country,1379.00,9660479.47,940.62,7,927.07,12,16574,4144,10,583,12011,346,0.03,FALSE
GREATER SHEPPARTON,C24,Country,1400.00,43126080.1,944.04,9,931.13,16,54658,6832,6,789,40005,795,0.02,FALSE
MILDURA,C27,Country,1341.00,36959276.6,940,5,922.27,7,45530,5691,6,812,31290,1281,0.04,FALSE
EAST GIPPSLAND,C28,Country,1110.00,30377352.32,963.31,18,930.85,15,41173,4117,8,738,23235,1157,0.05,FALSE
BASS COAST,C29,Country,1163.00,20621836.61,992.83,34,957.5,28,35499,7100,6,581,20107,661,0.03,FALSE
LATROBE,C30,Country,1260.00,49584137.64,930.82,4,907.1,2,62732,4826,8,790,39588,2366,0.06,FALSE
SURF COAST,C33,Country,2088.00,4449256.77,1086.2,77,1075.79,72,31324,10441,3,142,22639,329,0.01,FALSE
SOUTH GIPPSLAND,C4,Country,1266.00,7157434.54,1002.59,40,965.99,34,25101,6275,4,285,16103,406,0.03,FALSE
MACEDON RANGES,C45,Country,2059.00,9695883.28,1062.81,73,1047.4,63,41094,13698,3,236,29882,452,0.02,FALSE
HORSHAM,C5,Country,1381.00,11641002.59,990.1,32,959.11,30,16043,5348,10,726,11563,333,0.03,FALSE
BAW BAW,C6,Country,1495.00,20430795.16,1003.32,42,971.13,38,48170,12042,5,424,32053,844,0.03,FALSE
WANGARATTA,C9,Country,1326.00,10559115.95,988.35,30,956.58,27,24077,6019,6,439,16126,564,0.03,FALSE
MELBOURNE,M1,Metro,1678.00,95137726.95,1016.68,50,1085.52,73,163965,16397,5,580,119302,4959,0.04,FALSE
MORELAND,M10,Metro,1943.00,61438680.97,1026.53,55,1049.42,65,151981,12665,4,404,113117,5399,0.05,FALSE
DAREBIN,M11,Metro,1829.00,84552235.28,1018.34,52,1044.2,61,131192,11927,5,644,96257,4902,0.05,FALSE
BOROONDARA,M12,Metro,2376.00,18805362.94,1089.62,78,1130.73,80,140974,35243,1,133,102280,3211,0.03,FALSE
WHITEHORSE,M13,Metro,1841.00,59662331.37,1042.7,67,1067.26,70,144758,24126,3,412,99397,4236,0.04,FALSE
MANNINGHAM,M14,Metro,1920.00,58047020.8,1056.08,70,1075.16,71,104072,17345,4,558,68842,2826,0.04,FALSE
BANYULE,M15,Metro,2027.00,58630345.09,1057.68,71,1064.26,67,103518,11502,6,566,76607,2460,0.03,FALSE
MAROONDAH,M17,Metro,1867.00,63968642.4,1041.03,63,1034.66,60,93422,11678,7,685,66751,2613,0.04,FALSE
KNOX,M18,Metro,1884.00,76623268.16,1042.17,65,1028.67,58,129908,11810,6,590,91913,3663,0.04,FALSE
MONASH,M19,Metro,1901.00,121417688,1042.31,66,1066.96,68,164256,10950,6,739,112632,2255,0.02,FALSE
PORT PHILLIP,M2,Metro,2069.00,29442783.23,1061.02,72,1105.73,76,97826,9783,4,301,73919,3143,0.04,FALSE
KINGSTON,M20,Metro,1914.00,86299825.29,1044.26,68,1048.23,64,131182,8199,7,658,95863,3202,0.03,FALSE
GREATER DANDENONG,M21,Metro,1453.00,137923170.5,886.66,1,917.86,3,130773,9341,7,1055,84196,5409,0.06,FALSE
FRANKSTON,M22,Metro,1653.00,65795232.35,1003.14,41,982.11,42,112815,12535,5,583,76961,3044,0.04,FALSE
CASEY,M23,Metro,1918.00,158435289.1,994.67,36,986.34,44,298108,22931,3,531,215866,10035,0.05,FALSE
CARDINIA,M24,Metro,1874.00,36831475.25,1020.96,54,992.89,50,96787,16131,4,381,72377,2537,0.04,FALSE
YARRA RANGES,M25,Metro,1881.00,30596818.29,1041.25,64,1014.13,55,125713,13968,4,243,90152,3519,0.04,FALSE
HUME,M27,Metro,1703.00,138016294.8,940.82,8,948.57,24,198226,14159,4,696,135744,9760,0.07,FALSE
BRIMBANK,M28,Metro,1506.00,171667782.5,912.47,3,928.42,13,159548,10637,6,1076,107496,6340,0.06,FALSE
MELTON,M29,Metro,1887.00,90271752.75,985.19,28,973.9,40,158362,22623,3,570,110899,5755,0.05,FALSE
HOBSONS BAY,M3,Metro,1972.00,46936040.49,1020.66,53,1034.27,59,74338,8260,7,631,56536,1594,0.03,FALSE
WYNDHAM,M30,Metro,2023.00,125213060.9,1005.52,44,1004.38,54,238883,18376,4,524,183269,8035,0.04,FALSE
MORNINGTON PENINSULA,M31,Metro,1555.00,87818238.92,1037.54,60,1016.21,56,139505,8719,6,629,83467,2176,0.03,FALSE
YARRA,M4,Metro,2270.00,29842339.2,1045.74,69,1107.86,77,88438,12634,3,337,67799,3272,0.05,FALSE
MARIBYRNONG,M5,Metro,1998.00,66253194.45,1009.72,48,1044.59,62,78609,8734,6,843,61101,2457,0.04,FALSE
STONNINGTON,M6,Metro,2210.00,19809877.19,1084.48,76,1129.99,79,97486,24372,2,203,72834,1856,0.03,FALSE
GLEN EIRA,M7,Metro,2133.00,71755193.09,1074.59,74,1102.85,75,124742,13860,5,575,94822,2661,0.03,FALSE
BAYSIDE,M8,Metro,2487.00,12380460.23,1090.41,79,1127.13,78,82673,27558,2,150,59319,1227,0.02,FALSE
MOONEE VALLEY,M9,Metro,2011.00,85434267.05,1040.72,62,1059.76,66,104152,9468,7,820,76284,2975,0.04,FALSE
BULOKE,C7,Country,1088.00,0,975.05,24,946.06,22,5012,0,0,0,3269,95,0.03,TRUE
GOLDEN PLAINS,C32,Country,1899.00,0,1039.94,61,996.95,52,19535,0,0,0,14369,409,0.03,TRUE
HINDMARSH,C8,Country,1159.00,0,940.1,6,922.83,8,4565,0,0,0,2916,107,0.04,TRUE
INDIGO,C35,Country,1511.00,0,1029.42,59,996.29,51,14058,0,0,0,9571,202,0.02,TRUE
LODDON,C46,Country,1039.00,0,948.1,11,924.81,10,6372,0,0,0,3652,147,0.04,TRUE
MOYNE,C36,Country,1530.00,0,1028.98,58,998.42,53,13797,0,0,0,9818,125,0.01,TRUE
PYRENEES,C44,Country,1101.00,0,958.69,17,929.26,14,6395,0,0,0,3451,184,0.05,TRUE
WEST WIMMERA,C39,Country,1207.00,0,991.01,33,971.17,39,3165,0,0,0,2188,64,0.03,TRUE
YARRIAMBIACK,C40,Country,1102.00,0,945.93,10,923.02,9,5184,0,0,0,3181,130,0.04,TRUE
